from_region,to_region,v1_status,v4_status,v4_normal_fare,v4_priority_fare,v4_promoted,v4_source_name,v4_source_date,v4_source_url,v4_confidence,normal_path,priority_path,providers,jne2026_values
광주,목포,DIRECT_PROVIDER,DIRECT_PROVIDER,7200,9300,False,,,,,"[""광주"", ""목포""]","[""광주"", ""목포""]","[""bustago"", ""kobus"", ""tmoney""]","[7200, 9300]"
광주,여수,DIRECT_PROVIDER,DIRECT_PROVIDER,13000,16800,False,,,,,"[""광주"", ""여수""]","[""광주"", ""여수""]","[""tmoney""]","[13000, 16800]"
광주,순천,DIRECT_PROVIDER,DIRECT_PROVIDER,8400,11000,False,,,,,"[""광주"", ""순천""]","[""광주"", ""순천""]","[""tmoney""]","[8400, 11000]"
광주,나주,DIRECT_PROVIDER,DIRECT_PROVIDER,4300,6800,False,,,,,"[""광주"", ""나주""]","[""광주"", ""나주""]","[""bustago"", ""tmoney""]",[4300]
광주,광양,DIRECT_PROVIDER,DIRECT_PROVIDER,8400,10900,False,,,,,"[""광주"", ""광양""]","[""광주"", ""광양""]","[""tmoney""]",[8400]
광주,담양,DIRECT_PROVIDER,DIRECT_PROVIDER,2900,2900,False,,,,,"[""광주"", ""담양""]","[""광주"", ""담양""]","[""bustago"", ""tmoney""]",[2900]
광주,곡성,DIRECT_PROVIDER,DIRECT_PROVIDER,5500,5500,False,,,,,"[""광주"", ""곡성""]","[""광주"", ""곡성""]","[""tmoney""]",[5500]
광주,구례,DIRECT_PROVIDER,DIRECT_PROVIDER,9800,9800,False,,,,,"[""광주"", ""구례""]","[""광주"", ""구례""]","[""tmoney""]",[9800]
광주,고흥,DIRECT_PROVIDER,DIRECT_PROVIDER,16200,21000,False,,,,,"[""광주"", ""고흥""]","[""광주"", ""고흥""]","[""tmoney""]","[16200, 21000]"
광주,보성,DIRECT_PROVIDER,DIRECT_PROVIDER,10500,11500,False,,,,,"[""광주"", ""보성""]","[""광주"", ""보성""]","[""bustago"", ""tmoney""]","[10500, 11500]"
광주,화순,DIRECT_PROVIDER,DIRECT_PROVIDER,2500,3200,False,,,,,"[""광주"", ""화순""]","[""광주"", ""화순""]","[""tmoney""]",[2500]
광주,장흥,DIRECT_PROVIDER,DIRECT_PROVIDER,11500,14900,False,,,,,"[""광주"", ""장흥""]","[""광주"", ""장흥""]","[""tmoney""]","[11500, 14900]"
광주,강진,DIRECT_PROVIDER,DIRECT_PROVIDER,11700,15200,False,,,,,"[""광주"", ""강진""]","[""광주"", ""강진""]","[""bustago"", ""tmoney""]","[11700, 15200]"
광주,해남,DIRECT_PROVIDER,DIRECT_PROVIDER,13700,16900,False,,,,,"[""광주"", ""해남""]","[""광주"", ""해남""]","[""bustago"", ""tmoney""]","[13700, 16900]"
광주,영암,DIRECT_PROVIDER,DIRECT_PROVIDER,8700,8700,False,,,,,"[""광주"", ""영암""]","[""광주"", ""영암""]","[""bustago"", ""tmoney""]",[8700]
광주,무안,DIRECT_PROVIDER,DIRECT_PROVIDER,6000,7800,False,,,,,"[""광주"", ""무안""]","[""광주"", ""무안""]","[""tmoney""]","[6000, 7800]"
광주,함평,DIRECT_PROVIDER,DIRECT_PROVIDER,4500,5800,False,,,,,"[""광주"", ""함평""]","[""광주"", ""함평""]","[""tmoney""]","[4500, 5800]"
광주,영광,DIRECT_PROVIDER,DIRECT_PROVIDER,7300,9500,False,,,,,"[""광주"", ""영광""]","[""광주"", ""영광""]","[""tmoney""]","[7300, 9500]"
광주,장성,DIRECT_WEB_VERIFIED,DIRECT_WEB_VERIFIED,2400,2400,False,,,,,"[""광주"", ""장성""]","[""광주"", ""장성""]",[],[2400]
광주,완도,DIRECT_PROVIDER,DIRECT_PROVIDER,20500,24800,False,,,,,"[""광주"", ""완도""]","[""광주"", ""완도""]","[""bustago"", ""tmoney""]","[20500, 24800]"
광주,진도,DIRECT_PROVIDER,DIRECT_PROVIDER,15300,19900,False,,,,,"[""광주"", ""진도""]","[""광주"", ""진도""]","[""tmoney""]","[15300, 19900]"
광주,남악,DIRECT_PROVIDER,DIRECT_PROVIDER,7200,9300,False,,,,,"[""광주"", ""남악""]","[""광주"", ""남악""]","[""tmoney""]","[7200, 9300]"
목포,광주,DIRECT_PROVIDER,DIRECT_PROVIDER,7200,9300,False,,,,,"[""목포"", ""광주""]","[""목포"", ""광주""]","[""bustago"", ""kobus"", ""tmoney""]","[7200, 9300]"
목포,여수,DIRECT_PROVIDER,DIRECT_PROVIDER,16500,21400,False,,,,,"[""목포"", ""여수""]","[""목포"", ""여수""]","[""bustago"", ""tmoney""]","[16500, 21400]"
목포,순천,DIRECT_PROVIDER,DIRECT_PROVIDER,11500,15000,False,,,,,"[""목포"", ""순천""]","[""목포"", ""순천""]","[""bustago"", ""tmoney""]","[11500, 15000]"
목포,나주,DIRECT_PROVIDER,DIRECT_PROVIDER,7300,7300,False,,,,,"[""목포"", ""나주""]","[""목포"", ""나주""]","[""bustago"", ""tmoney""]",[7300]
목포,광양,DIRECT_PROVIDER,DIRECT_PROVIDER,13700,17800,False,,,,,"[""목포"", ""광양""]","[""목포"", ""광양""]","[""tmoney""]",[13700]
목포,담양,TRANSFER_TRUSTED,TRANSFER_TRUSTED,10100,12200,False,,,,,"[""목포"", ""광주"", ""담양""]","[""목포"", ""광주"", ""담양""]","[""bustago"", ""kobus"", ""tmoney""]",[10100]
목포,곡성,TRANSFER_TRUSTED,TRANSFER_TRUSTED,12700,14800,False,,,,,"[""목포"", ""광주"", ""곡성""]","[""목포"", ""광주"", ""곡성""]","[""bustago"", ""kobus"", ""tmoney""]",[12700]
목포,구례,TRANSFER_TRUSTED,TRANSFER_TRUSTED,16700,19100,False,,,,,"[""목포"", ""순천"", ""구례""]","[""목포"", ""광주"", ""구례""]","[""bustago"", ""tmoney""]",[17000]
목포,고흥,DIRECT_PROVIDER,DIRECT_PROVIDER,23300,23300,False,,,,,"[""목포"", ""고흥""]","[""목포"", ""고흥""]","[""tmoney""]",[18600]
목포,보성,DIRECT_PROVIDER,DIRECT_PROVIDER,13500,13500,False,,,,,"[""목포"", ""보성""]","[""목포"", ""보성""]","[""tmoney""]",[13500]
목포,화순,TRANSFER_TRUSTED,TRANSFER_TRUSTED,9700,12500,False,,,,,"[""목포"", ""광주"", ""화순""]","[""목포"", ""광주"", ""화순""]","[""bustago"", ""kobus"", ""tmoney""]",[9700]
목포,장흥,DIRECT_PROVIDER,DIRECT_PROVIDER,10200,10200,False,,,,,"[""목포"", ""장흥""]","[""목포"", ""장흥""]","[""bustago"", ""tmoney""]",[10200]
목포,강진,DIRECT_PROVIDER,DIRECT_PROVIDER,7800,7800,False,,,,,"[""목포"", ""강진""]","[""목포"", ""강진""]","[""bustago"", ""tmoney""]",[7800]
목포,해남,DIRECT_PROVIDER,DIRECT_PROVIDER,8700,8700,False,,,,,"[""목포"", ""해남""]","[""목포"", ""해남""]","[""bustago"", ""tmoney""]",[8700]
목포,영암,DIRECT_PROVIDER,DIRECT_PROVIDER,6400,6400,False,,,,,"[""목포"", ""영암""]","[""목포"", ""영암""]","[""bustago""]",[6400]
목포,무안,DIRECT_PROVIDER,DIRECT_PROVIDER,3200,3200,False,,,,,"[""목포"", ""무안""]","[""목포"", ""무안""]","[""bustago"", ""tmoney""]",[3200]
목포,함평,DIRECT_PROVIDER,DIRECT_PROVIDER,5100,5100,False,,,,,"[""목포"", ""함평""]","[""목포"", ""함평""]","[""tmoney""]",[5100]
